OBJECTNUMMER;SELECTIE;FILTER;Groen_ID;Stadsdeel;Naam;BBQ;Toelichting_bbq;Stadspark;Oppervlakte_m2;COORDS;CENTERLNG1;CENTERLAT1;CENTERLNG2;CENTERLAT2;
31;"";"";31;"Noord";"Noorderpark";"VERGUNNING";"In stadsdeel Noord moet u vooraf toestemming vragen om te mogen barbecueën. Dit doet u bij de afdeling Vergunningen, Openbare Orde. Het stadsdeel bekijkt per situatie (welk park, grootte van de groep, akkoord van de parkbeheerder etc.) of u toestemming k";"J";314344;"MULTIPOLYGON(((4.921972 52.396575,4.921959 52.396442,4.921913 52.396311,4.919594 52.391843,4.919164 52.391203,4.918954 52.390934,4.918481 52.390398,4.91802 52.389944,4.917475 52.390107,4.917098 52.390286,4.916179 52.390654,4.916429 52.390898,4.916467 52.390893,4.91648 52.390925,4.916458 52.390941,4.916525 52.391008,4.916569 52.390991,4.916591 52.391013,4.916614 52.391003,4.916658 52.391045,4.916702 52.391016,4.916686 52.390999,4.916754 52.390973,4.916738 52.390958,4.916951 52.390875,4.916998 52.390952,4.917063 52.390937,4.917086 52.390962,4.916781 52.391079,4.916819 52.391071,4.916856 52.391107,4.916823 52.391121,4.917014 52.391303,4.916875 52.391361,4.917233 52.392224,4.917199 52.3927,4.917324 52.392683,4.917318 52.392669,4.917334 52.392682,4.917589 52.39265,4.917604 52.392691,4.917646 52.392685,4.917665 52.392741,4.91769 52.392737,4.917743 52.392881,4.917748 52.392895,4.917723 52.392898,4.917743 52.392955,4.917531 52.392984,4.917546 52.393027,4.917463 52.393038,4.917467 52.393052,4.917452 52.393039,4.917373 52.39305,4.917597 52.393372,4.917736 52.393671,4.917833 52.3941,4.91782 52.394561,4.917926 52.394961,4.917916 52.395019,4.917962 52.395108,4.918056 52.395448,4.9184 52.396056,4.917764 52.397721,4.917122 52.398381,4.919672 52.399172,4.920063 52.399328,4.920377 52.399521,4.920444 52.399513,4.920709 52.399366,4.9208 52.399334,4.920924 52.399318,4.921087 52.399331,4.921185 52.399313,4.921381 52.399185,4.921394 52.399192,4.921458 52.39912,4.921228 52.399046,4.920934 52.399173,4.920741 52.399201,4.920526 52.399167,4.92041 52.399112,4.920311 52.398987,4.920228 52.398808,4.920212 52.398703,4.920244 52.39854,4.920384 52.398267,4.920574 52.398045,4.920791 52.397842,4.921833 52.396963,4.921935 52.396763,4.921972 52.396575)),((4.924654 52.391296,4.924606 52.391162,4.924633 52.391099,4.924308 52.390978,4.92422 52.390876,4.924254 52.390687,4.924213 52.39064,4.920539 52.389002,4.920508 52.389102,4.920684 52.389182,4.920638 52.389203,4.921588 52.389625,4.921689 52.3897,4.921757 52.38979,4.921778 52.389867,4.921771 52.389946,4.921643 52.390166,4.921585 52.390377,4.921644 52.390609,4.922369 52.39148,4.923247 52.39265,4.923509 52.39305,4.923875 52.393183,4.92408 52.393492,4.924194 52.393461,4.924184 52.393281,4.924159 52.393257,4.924611 52.391384,4.924654 52.391296)),((4.924017 52.395271,4.923964 52.395195,4.923991 52.395188,4.923942 52.395116,4.92348 52.394499,4.923178 52.394347,4.923113 52.394244,4.923031 52.394265,4.922995 52.394204,4.922978 52.394208,4.922742 52.39383,4.922844 52.393723,4.922981 52.393689,4.922983 52.393668,4.921779 52.391851,4.92136 52.391338,4.921259 52.391295,4.920836 52.390889,4.920122 52.390355,4.919317 52.389945,4.919103 52.389776,4.91904 52.389747,4.918877 52.389704,4.918652 52.38973,4.919583 52.390636,4.922069 52.395439,4.922141 52.395484,4.922252 52.395495,4.923304 52.395272,4.923409 52.395302,4.923428 52.395338,4.923379 52.395401,4.922351 52.395618,4.922283 52.395641,4.92224 52.395687,4.922244 52.395781,4.92277 52.396698,4.922855 52.39675,4.922923 52.396748,4.922958 52.396715,4.923156 52.396781,4.923484 52.395893,4.923406 52.395657,4.923463 52.395624,4.923551 52.395626,4.923643 52.395361,4.924017 52.395271)))";4.9204165;52.3942625;4,9204165;52,3942625;
32;"";"";32;"West";"Spaarndammerplantsoen";"VERBOD";"In West mag u barbecueën op drie plaatsen: in het Erasmuspark, het Westerpark en in het Jan van Schaffelaarplantsoen.";"N";7331;"POLYGON((4.876318 52.389692,4.875179 52.389348,4.874911 52.389577,4.874542 52.389959,4.875798 52.390339,4.876318 52.389692))";4.87543;52.389843;4,87543;52,389843;
33;"";"";33;"Noord";"IJ-oever Overhoeks";"VERGUNNING";"In stadsdeel Noord moet u vooraf toestemming vragen om te mogen barbecueën. Dit doet u bij de afdeling Vergunningen, Openbare Orde. Het stadsdeel bekijkt per situatie (welk park, grootte van de groep, akkoord van de parkbeheerder etc.) of u toestemming k";"N";32531;"POLYGON((4.898297 52.389824,4.899142 52.387386,4.899412 52.38742,4.900812 52.384411,4.90215 52.383287,4.90196 52.3832,4.901328 52.383724,4.900245 52.383791,4.900196 52.383823,4.899861 52.384363,4.897971 52.389522,4.898146 52.389547,4.898055 52.389789,4.898297 52.389824))";4.9000605;52.386513;4,9000605;52,386513;
34;"";"";34;"Noord";"W.H. Vliegenbos";"VERGUNNING";"In stadsdeel Noord moet u vooraf toestemming vragen om te mogen barbecueën. Dit doet u bij de afdeling Vergunningen, Openbare Orde. Het stadsdeel bekijkt per situatie (welk park, grootte van de groep, akkoord van de parkbeheerder etc.) of u toestemming k";"J";277677;"POLYGON((4.938899 52.38958,4.938029 52.387503,4.937965 52.387512,4.937697 52.38688,4.937675 52.386864,4.937615 52.386861,4.936197 52.387089,4.936156 52.386987,4.935896 52.387028,4.935869 52.386963,4.932999 52.387426,4.932845 52.387479,4.932862 52.387528,4.932815 52.387573,4.931162 52.387864,4.927141 52.388913,4.927028 52.388892,4.926843 52.388749,4.926693 52.388741,4.926518 52.388489,4.926476 52.388463,4.926163 52.38843,4.926146 52.388551,4.92526 52.388432,4.925219 52.388437,4.925193 52.388476,4.92535 52.388795,4.925434 52.389106,4.925494 52.389111,4.925497 52.389199,4.925675 52.389197,4.925683 52.389272,4.925747 52.389312,4.925749 52.389429,4.925235 52.389442,4.925211 52.389733,4.925228 52.389931,4.925208 52.39001,4.925125 52.39015,4.92537 52.39025,4.925449 52.390268,4.925347 52.390634,4.925191 52.390661,4.925178 52.390687,4.926977 52.390972,4.928097 52.391107,4.929927 52.391255,4.930809 52.391307,4.932608 52.391379,4.93303 52.391373,4.933177 52.390813,4.933264 52.390738,4.933376 52.390695,4.934009 52.390555,4.934711 52.390448,4.938617 52.389783,4.938715 52.38975,4.938774 52.389711,4.938863 52.38964,4.938899 52.38958),(4.937829 52.388917,4.938055 52.389397,4.937836 52.389495,4.936774 52.389836,4.936785 52.389857,4.936471 52.389907,4.936481 52.389929,4.934815 52.390199,4.934736 52.390187,4.934434 52.389494,4.934467 52.389467,4.937829 52.388917))";4.932012;52.38912;4,932012;52,38912;
35;"";"";35;"Oost";"Flevopark";"RESTRICTIES";"In het Flevopark mag u alleen barbecueën op het grote veld, vlak bij de tennisbanen en Jeugdland.";"J";282280;"POLYGON((4.944851 52.35852,4.945472 52.360617,4.945497 52.360613,4.945609 52.360961,4.945572 52.360965,4.945935 52.36228,4.945835 52.362301,4.945823 52.362331,4.945898 52.362365,4.946471 52.362448,4.946715 52.362505,4.946911 52.3626,4.947013 52.362681,4.947134 52.362832,4.947431 52.363777,4.948096 52.364693,4.948286 52.364863,4.948444 52.364951,4.948533 52.364977,4.948692 52.364955,4.94892 52.364952,4.949941 52.365038,4.950904 52.36503,4.951469 52.365046,4.952386 52.365116,4.952394 52.365159,4.952339 52.365415,4.956298 52.365757,4.956433 52.365191,4.955883 52.365154,4.955902 52.364999,4.955718 52.365039,4.955261 52.365042,4.955151 52.365027,4.955052 52.36499,4.953323 52.363462,4.953178 52.363385,4.953024 52.363338,4.952412 52.36323,4.952402 52.36318,4.952183 52.36308,4.95177 52.362825,4.95168 52.362741,4.95173 52.362711,4.951426 52.362533,4.950832 52.361948,4.950783 52.361945,4.950461 52.362012,4.95044 52.362,4.95044 52.361981,4.951111 52.361771,4.951195 52.361717,4.951223 52.361731,4.951546 52.361649,4.951645 52.361665,4.951706 52.361583,4.951719 52.361588,4.951894 52.361407,4.951631 52.36131,4.95177 52.361158,4.951805 52.36101,4.951795 52.36088,4.951739 52.360762,4.951724 52.360659,4.951936 52.36039,4.951987 52.360239,4.95196 52.360195,4.952007 52.36018,4.952049 52.360111,4.952222 52.359942,4.952347 52.359918,4.952479 52.359845,4.952576 52.359767,4.952886 52.359636,4.952896 52.359525,4.952851 52.359185,4.95278 52.358118,4.952813 52.358097,4.952849 52.358115,4.952906 52.358101,4.952904 52.358075,4.952699 52.358083,4.952708 52.358163,4.952106 52.358181,4.952084 52.35814,4.952013 52.35812,4.947594 52.358303,4.947124 52.358303,4.947226 52.358534,4.947208 52.358567,4.94736 52.359125,4.948322 52.362406,4.947599 52.362632,4.947535 52.362593,4.947472 52.36244,4.947343 52.362393,4.946574 52.36223,4.946532 52.362193,4.945819 52.359908,4.945518 52.358802,4.94556 52.35877,4.945697 52.358735,4.946311 52.358687,4.946287 52.358341,4.946134 52.358347,4.946142 52.358403,4.945852 52.358416,4.945845 52.358361,4.945103 52.358398,4.944925 52.358435,4.944857 52.358473,4.944851 52.35852),(4.949948 52.364313,4.950171 52.364288,4.95115 52.365,4.950618 52.364995,4.948614 52.364872,4.948545 52.364847,4.948458 52.364761,4.948458 52.364723,4.948685 52.36466,4.949344 52.3645,4.949948 52.364313))";4.950642;52.3619155;4,950642;52,3619155;
36;"";"";36;"Zuid";"Gijsbrecht van Aemstelpark";"VERBOD";"In het gehele Gijsbrecht van Aemstelpark is barbecueën verboden.";"N";269244;"MULTIPOLYGON(((4.889305 52.329546,4.889307 52.32887,4.888603 52.328863,4.888423 52.328847,4.888233 52.328811,4.886447 52.328164,4.886302 52.328128,4.886087 52.328098,4.883822 52.328072,4.882902 52.328139,4.882901 52.328181,4.882657 52.3282,4.879311 52.328195,4.879302 52.328151,4.879248 52.328124,4.878029 52.328018,4.875419 52.327997,4.875331 52.328037,4.875276 52.328032,4.875265 52.328008,4.875221 52.327994,4.869276 52.327939,4.86921 52.327959,4.869173 52.328008,4.869169 52.32899,4.869224 52.328991,4.869225 52.329225,4.869437 52.329223,4.869435 52.329282,4.876625 52.32928,4.876625 52.329531,4.882313 52.329536,4.882701 52.329515,4.889305 52.329546)),((4.868496 52.330405,4.868502 52.329222,4.862551 52.329219,4.862549 52.330274,4.862515 52.330308,4.862514 52.330349,4.862657 52.330346,4.862657 52.330396,4.863842 52.330396,4.863841 52.33065,4.864133 52.330651,4.864141 52.330398,4.865413 52.3304,4.865413 52.330651,4.865741 52.330654,4.865741 52.3304,4.867095 52.330402,4.86709 52.330653,4.867219 52.330654,4.86739 52.330654,4.867392 52.330403,4.868496 52.330405)),((4.861671 52.330431,4.861673 52.329746,4.86105 52.329763,4.8603 52.32976,4.859511 52.329754,4.858441 52.329713,4.858407 52.329724,4.858407 52.33028,4.858579 52.330281,4.858558 52.330425,4.861671 52.330431)))";4.873857;52.329296;4,873857;52,329296;
37;"";"";37;"Zuid";"Martin Luther Kingpark";"RESTRICTIES";"In het Martin Luther Kingpark wordt met borden aangegeven waar u mag barbecuueën.";"J";139931;"MULTIPOLYGON(((4.901817 52.340319,4.906365 52.340129,4.907292 52.340171,4.907456 52.340161,4.907655 52.340102,4.908001 52.339899,4.90869 52.339299,4.908548 52.33924,4.908485 52.339248,4.908481 52.339285,4.908426 52.339341,4.907991 52.339714,4.906956 52.339937,4.906912 52.339862,4.906764 52.339893,4.906326 52.339147,4.905793 52.338452,4.90581 52.338402,4.905865 52.33837,4.906533 52.338176,4.906354 52.337863,4.906109 52.336833,4.905256 52.336893,4.90504 52.336934,4.903133 52.337633,4.901998 52.338027,4.901861 52.338098,4.901752 52.338209,4.901686 52.338375,4.9016 52.338479,4.901817 52.340319)),((4.911803 52.341547,4.911984 52.341665,4.912044 52.341622,4.91324 52.341084,4.912972 52.340868,4.912678 52.340682,4.912065 52.340348,4.911706 52.340194,4.911362 52.340077,4.910317 52.339853,4.909446 52.339619,4.908876 52.33938,4.90785 52.34028,4.909168 52.340503,4.909825 52.340688,4.91081 52.341052,4.91153 52.341396,4.911803 52.341547)))";4.90742;52.3392485;4,90742;52,3392485;
38;"";"";38;"Oost";"Voorlandpad";"ONBEKEND";"";"N";20258;"POLYGON((4.954843 52.343986,4.954609 52.343757,4.954096 52.343399,4.953788 52.34328,4.953243 52.34324,4.95243 52.34275,4.952144 52.342628,4.952044 52.342606,4.951343 52.342255,4.951247 52.342167,4.951192 52.342163,4.950855 52.342242,4.951368 52.34259,4.951422 52.34265,4.951669 52.343154,4.952666 52.343753,4.952929 52.343842,4.953245 52.344018,4.95414 52.344369,4.954225 52.344358,4.954633 52.344073,4.954843 52.343986))";4.952849;52.3432655;4,952849;52,3432655;
39;"";"";39;"Nieuw-West";"De Bretten";"RESTRICTIES";"In het De Bretten is barbecueën alleen in bepaalde gedeelten toegestaan. Dit is met borden aangeven.";"N";1502399;"MULTIPOLYGON(((4.818591 52.389049,4.818598 52.386674,4.818556 52.386455,4.818557 52.386294,4.8186 52.386138,4.818585 52.385843,4.818601 52.38571,4.818554 52.385498,4.818554 52.384793,4.804313 52.384626,4.804251 52.384636,4.804216 52.384659,4.804215 52.384693,4.804189 52.384693,4.804162 52.384692,4.804103 52.384639,4.804018 52.384621,4.802041 52.384598,4.800962 52.384571,4.793225 52.384499,4.793111 52.384537,4.792876 52.3845,4.792096 52.384482,4.789465 52.384488,4.782642 52.384382,4.781827 52.384414,4.781352 52.384403,4.781242 52.384389,4.780916 52.384406,4.780573 52.384371,4.777477 52.38434,4.77719 52.384375,4.776614 52.38437,4.775241 52.384351,4.774627 52.384302,4.774268 52.384304,4.773807 52.384286,4.77192 52.384309,4.76981 52.384251,4.76952 52.384275,4.769232 52.384272,4.768614 52.384234,4.7681 52.384227,4.768113 52.384887,4.768144 52.385219,4.768232 52.385714,4.768319 52.38604,4.768491 52.386527,4.768632 52.386847,4.768884 52.38732,4.769101 52.387673,4.769341 52.387734,4.769494 52.387824,4.769559 52.387893,4.770191 52.389015,4.770589 52.389388,4.771069 52.38979,4.771829 52.390336,4.771888 52.390306,4.772019 52.390276,4.772151 52.390268,4.772282 52.39029,4.772368 52.390324,4.773 52.390688,4.773019 52.389235,4.776728 52.389238,4.776752 52.389227,4.776755 52.389179,4.776843 52.389179,4.776934 52.389231,4.777477 52.389239,4.788077 52.389243,4.788807 52.389281,4.794142 52.389316,4.794186 52.389288,4.794186 52.389193,4.794253 52.389193,4.794283 52.389165,4.794323 52.389157,4.794457 52.389158,4.794457 52.389137,4.794566 52.389121,4.794566 52.389157,4.795005 52.389159,4.795076 52.389191,4.795199 52.389191,4.795318 52.389244,4.79987 52.389243,4.799862 52.389412,4.805184 52.38942,4.805184 52.389472,4.808676 52.389467,4.808957 52.389483,4.808957 52.389424,4.809121 52.389425,4.809173 52.389409,4.809185 52.389158,4.809244 52.389158,4.809261 52.389389,4.809286 52.389414,4.809358 52.389425,4.810731 52.389424,4.810811 52.389389,4.811021 52.389245,4.812968 52.389245,4.813086 52.389225,4.813322 52.389148,4.818471 52.389135,4.818555 52.389101,4.818591 52.389049),(4.811515 52.385721,4.81156 52.385706,4.811569 52.385686,4.811577 52.385333,4.811647 52.385313,4.812519 52.385334,4.816735 52.385358,4.816791 52.385387,4.816795 52.385497,4.816822 52.38554,4.816864 52.385495,4.816903 52.385492,4.817729 52.385499,4.817781 52.385522,4.817891 52.385733,4.817957 52.385767,4.818326 52.385773,4.818324 52.385702,4.818419 52.385678,4.818417 52.385732,4.818354 52.385852,4.818337 52.386686,4.818241 52.386778,4.818122 52.38685,4.818006 52.386898,4.817996 52.386876,4.817968 52.386893,4.817965 52.3874,4.817854 52.387422,4.815122 52.387556,4.810201 52.387519,4.810212 52.385762,4.810291 52.38572,4.811515 52.385721),(4.776278 52.388677,4.775242 52.388676,4.774925 52.388774,4.77276 52.388763,4.772444 52.388567,4.772401 52.388499,4.772121 52.388456,4.771478 52.388805,4.770831 52.388841,4.770591 52.388463,4.770717 52.388178,4.77011 52.387445,4.770054 52.387398,4.769603 52.386516,4.769814 52.386183,4.769404 52.386081,4.769347 52.38605,4.768978 52.385357,4.768985 52.385316,4.769424 52.384816,4.769455 52.384804,4.770453 52.384807,4.771137 52.385014,4.771304 52.384873,4.771354 52.384853,4.776064 52.384874,4.776136 52.384892,4.776319 52.384998,4.776355 52.385047,4.776348 52.386412,4.77633 52.386452,4.776296 52.386469,4.77611 52.386479,4.77598 52.38658,4.775973 52.387136,4.776096 52.387223,4.776233 52.387227,4.776291 52.38725,4.77633 52.387294,4.776332 52.388138,4.776318 52.388648,4.776278 52.388677)),((4.773001 52.391827,4.773001 52.391784,4.772157 52.391355,4.771794 52.390761,4.771207 52.390368,4.77078 52.390054,4.772036 52.392264,4.772028 52.392298,4.771895 52.392328,4.771938 52.392409,4.772352 52.392309,4.772639 52.39226,4.772972 52.392236,4.773001 52.391827)))";4.7933505;52.388319;4,7933505;52,388319;
40;"";"";40;"Nieuw-West";"Geuzenbos";"ONBEKEND";"";"N";941628;"MULTIPOLYGON(((4.77197 52.394258,4.771799 52.394177,4.771543 52.394085,4.771314 52.393972,4.771017 52.393732,4.770808 52.393397,4.770835 52.393393,4.770819 52.393343,4.770851 52.393335,4.77063 52.392708,4.770399 52.39228,4.7702 52.392322,4.769314 52.39074,4.769293 52.390666,4.769312 52.390634,4.769469 52.390524,4.769494 52.390469,4.769514 52.389457,4.769475 52.389329,4.76933 52.389084,4.769236 52.389025,4.769138 52.38901,4.764629 52.389005,4.764138 52.388776,4.763853 52.388705,4.762794 52.388133,4.762676 52.388087,4.760364 52.388094,4.758265 52.388171,4.758013 52.389544,4.758028 52.390038,4.758164 52.390294,4.758213 52.39052,4.75818 52.392939,4.758148 52.393194,4.75811 52.393222,4.758017 52.39324,4.758015 52.3937,4.758131 52.393703,4.75815 52.393729,4.757991 52.396545,4.757922 52.396719,4.757809 52.396829,4.757644 52.396919,4.757438 52.396978,4.758719 52.400409,4.758884 52.400397,4.758996 52.400367,4.762983 52.399774,4.763621 52.397762,4.763646 52.394399,4.763894 52.394465,4.764475 52.394582,4.764478 52.394841,4.768803 52.394834,4.76888 52.394807,4.768886 52.394754,4.769047 52.394758,4.770193 52.394633,4.77197 52.394258)),((4.768545 52.387667,4.768362 52.387354,4.768116 52.386858,4.767979 52.386514,4.767813 52.385992,4.767728 52.385642,4.76764 52.385113,4.767599 52.384231,4.767382 52.384237,4.766912 52.384219,4.766526 52.384239,4.766132 52.38423,4.765508 52.384241,4.765253 52.38435,4.765102 52.384373,4.759788 52.384314,4.75909 52.384274,4.759057 52.384296,4.759029 52.384341,4.763705 52.384391,4.763691 52.384511,4.763731 52.384536,4.763703 52.384622,4.763795 52.38473,4.763895 52.38475,4.764062 52.384751,4.764075 52.38478,4.763974 52.384878,4.76367 52.384999,4.763637 52.385028,4.763615 52.385102,4.763555 52.385138,4.76338 52.385226,4.762787 52.385436,4.762443 52.385664,4.762341 52.385713,4.762233 52.385749,4.761925 52.385788,4.761534 52.385914,4.761401 52.385926,4.761272 52.386015,4.761075 52.386022,4.760999 52.386036,4.760852 52.386095,4.760794 52.386101,4.760641 52.386075,4.76052 52.386077,4.760224 52.38612,4.759791 52.386241,4.759746 52.38629,4.759742 52.386337,4.759896 52.386576,4.759929 52.386602,4.760049 52.386638,4.760147 52.386702,4.76019 52.386846,4.760171 52.386971,4.759632 52.387079,4.75953 52.387138,4.759406 52.387335,4.759377 52.387352,4.758669 52.387322,4.75852 52.38719,4.758351 52.3877,4.758716 52.387726,4.759598 52.387698,4.759707 52.387661,4.759782 52.387615,4.760084 52.387336,4.760331 52.387266,4.760617 52.387233,4.760735 52.387241,4.761376 52.387585,4.761511 52.387628,4.761683 52.387653,4.768545 52.387667)))";4.764704;52.392315;4,764704;52,392315;
41;"";"";41;"Nieuw-West";"Rembrandtpark";"VRIJ";"U hebt geen toestemming nodig om hier te barbecueën.";"J";418056;"POLYGON((4.850637 52.363798,4.850614 52.363777,4.850389 52.363775,4.850387 52.363809,4.850207 52.363806,4.85014 52.36384,4.850057 52.363852,4.849389 52.363843,4.849269 52.363814,4.849205 52.363744,4.849286 52.36132,4.849219 52.361257,4.848577 52.361059,4.848664 52.358158,4.845905 52.358147,4.844223 52.358162,4.844215 52.35829,4.844183 52.358378,4.843737 52.358896,4.844509 52.359146,4.844503 52.359416,4.845003 52.359421,4.844994 52.359719,4.84466 52.359715,4.844646 52.360169,4.843347 52.360155,4.843332 52.360302,4.843885 52.360312,4.844054 52.360327,4.844764 52.360459,4.84475 52.360829,4.843646 52.360817,4.843635 52.361212,4.843192 52.361206,4.843158 52.361226,4.84314 52.361686,4.843165 52.361707,4.843827 52.361717,4.843831 52.361667,4.843888 52.361667,4.84389 52.361577,4.843927 52.361574,4.843928 52.361541,4.844422 52.361544,4.844419 52.36165,4.844476 52.36165,4.844468 52.361888,4.843868 52.361881,4.843861 52.362098,4.843163 52.362093,4.843137 52.362103,4.843127 52.362144,4.843164 52.362169,4.843606 52.362174,4.843603 52.362296,4.84359 52.362522,4.843148 52.362518,4.843118 52.362534,4.843104 52.363008,4.843123 52.363108,4.84367 52.363188,4.843673 52.363027,4.84379 52.363029,4.843788 52.362976,4.843851 52.362976,4.843854 52.362886,4.844387 52.362892,4.844384 52.362982,4.844447 52.362982,4.844443 52.363222,4.844275 52.36326,4.844254 52.363674,4.844306 52.363948,4.844487 52.36405,4.844473 52.364274,4.844294 52.364375,4.844281 52.364465,4.844198 52.364551,4.844119 52.364598,4.844007 52.364635,4.844021 52.364673,4.844328 52.364676,4.844307 52.36555,4.843575 52.365543,4.843564 52.365704,4.843072 52.365698,4.843068 52.366019,4.844289 52.366027,4.844265 52.366862,4.843534 52.366856,4.843526 52.367022,4.843035 52.367013,4.843022 52.367531,4.843081 52.367597,4.843248 52.367642,4.844754 52.367663,4.844974 52.367705,4.845139 52.367782,4.845216 52.367874,4.845254 52.367977,4.845232 52.368807,4.845275 52.369178,4.846127 52.369243,4.847058 52.369341,4.84844 52.369562,4.848725 52.368967,4.848684 52.368924,4.849749 52.366605,4.850336 52.365379,4.850347 52.365349,4.850329 52.365346,4.850363 52.365267,4.85044 52.365264,4.850488 52.364384,4.849906 52.364375,4.849952 52.364115,4.84999 52.364117,4.850104 52.364085,4.850578 52.364078,4.850583 52.363896,4.850637 52.363798),(4.847205 52.369079,4.8471 52.369112,4.845599 52.368967,4.845558 52.368941,4.845547 52.368908,4.845543 52.368491,4.845503 52.368475,4.845498 52.368427,4.845502 52.368329,4.845545 52.368303,4.845599 52.368102,4.846087 52.367937,4.846159 52.367933,4.846731 52.367998,4.846756 52.368015,4.846752 52.368091,4.84691 52.368081,4.847024 52.368047,4.847085 52.368058,4.847342 52.368192,4.847399 52.368247,4.847339 52.368554,4.847328 52.368755,4.847336 52.368821,4.847421 52.368942,4.84739 52.368979,4.847205 52.369079))";4.8468295;52.3638535;4,8468295;52,3638535;
42;"";"";42;"Nieuw-West";"Vrije Geer";"VERBOD";"Er mag niet gebarbecued worden.";"N";102677;"POLYGON((4.801365 52.348447,4.800933 52.347475,4.800739 52.347135,4.800684 52.346896,4.800734 52.346768,4.800705 52.346724,4.800706 52.346643,4.800544 52.346369,4.800501 52.346221,4.800345 52.345911,4.800145 52.345734,4.799296 52.343954,4.799172 52.343631,4.799041 52.34356,4.798451 52.343696,4.798192 52.343582,4.797544 52.343444,4.797371 52.343391,4.797336 52.343394,4.797589 52.34368,4.797552 52.343712,4.797718 52.343988,4.797381 52.34407,4.797452 52.344253,4.797134 52.344488,4.797188 52.344588,4.797041 52.344813,4.797088 52.344846,4.797047 52.344914,4.797053 52.345024,4.796873 52.345085,4.796729 52.345239,4.79659 52.345329,4.796338 52.345125,4.796267 52.345113,4.796026 52.345469,4.796316 52.345944,4.796581 52.346326,4.796981 52.346773,4.797317 52.347041,4.798007 52.347487,4.798198 52.347464,4.798372 52.3475,4.798514 52.347608,4.79854 52.347691,4.79852 52.34776,4.798664 52.347861,4.799053 52.347662,4.79971 52.347967,4.800275 52.34819,4.801032 52.348427,4.801293 52.348484,4.801354 52.348482,4.801365 52.348447))";4.7986955;52.3459375;4,7986955;52,3459375;
