Postcode,Totaal allochtonen,Gemeentenaam,geometry
1034,7450,Amsterdam,"<Polygon><outerBoundaryIs><LinearRing><coordinates>4.92873196274,52.4117485209,0 4.9252409004,52.4072797963,0 4.92519585157,52.4046938798,0 4.92254363413,52.3993457488,0 4.9213306343,52.3987235334,0 4.91743393377,52.4003969229,0 4.90873196393,52.4015241973,0 4.90367469556,52.4031034643,0 4.90250048005,52.4023086515,0 4.90154293202,52.4030659835,0 4.902189681,52.4038541535,0 4.90263923338,52.4044015433,0 4.90668886467,52.4063261143,0 4.90729791329,52.408165656,0 4.9178296961,52.4165816154,0 4.92408793168,52.4141067856,0 4.92873196274,52.4117485209,0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
1035,3390,Amsterdam,"<Polygon><outerBoundaryIs><LinearRing><coordinates>4.9178296961,52.4165816154,0 4.90729791329,52.408165656,0 4.90218815777,52.412049076,0 4.8965020925,52.4163927525,0 4.89395595128,52.4168144856,0 4.88691371245,52.4161558267,0 4.88359283431,52.4209753056,0 4.87715895812,52.4193983194,0 4.87479537658,52.4170962749,0 4.87444642377,52.416003666,0 4.87262947918,52.4166509881,0 4.86831388247,52.4182787033,0 4.86999361315,52.420078182,0 4.87261758634,52.4213442797,0 4.87629751136,52.4232242369,0 4.87920845385,52.4252661564,0 4.88497310531,52.4253922876,0 4.89137186945,52.4256115679,0 4.89851256862,52.4245510326,0 4.90223228709,52.4230554965,0 4.9178296961,52.4165816154,0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
1036,565,Amsterdam,"<Polygon><outerBoundaryIs><LinearRing><coordinates>4.90729791329,52.408165656,0 4.90668886467,52.4063261143,0 4.90263923338,52.4044015433,0 4.902189681,52.4038541535,0 4.89885488932,52.4051041167,0 4.90218815777,52.412049076,0 4.90729791329,52.408165656,0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
1037,20,Amsterdam,"<Polygon><outerBoundaryIs><LinearRing><coordinates>4.87920845385,52.4252661564,0 4.87629751136,52.4232242369,0 4.87261758634,52.4213442797,0 4.86999361315,52.420078182,0 4.86831388247,52.4182787033,0 4.86591536577,52.4159916055,0 4.86449423684,52.41646888,0 4.86371079005,52.4158461723,0 4.86223459852,52.4162548703,0 4.86135703864,52.41601011,0 4.85677605687,52.4173063814,0 4.85836650757,52.418907899,0 4.86048147909,52.4206663145,0 4.85808451557,52.4243019201,0 4.86248123343,52.4286894573,0 4.86210294487,52.4295928354,0 4.86899700418,52.4311295055,0 4.87216174092,52.4299515435,0 4.87616047215,52.4260547471,0 4.87920845385,52.4252661564,0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
1041,10,Amsterdam,"<Polygon><outerBoundaryIs><LinearRing><coordinates>4.86222913354,52.4134911438,0 4.86150414925,52.412531643,0 4.86218947274,52.4122488744,0 4.84897765481,52.4005253885,0 4.82715481987,52.4099206148,0 4.82503204958,52.4126275367,0 4.82406548743,52.4145499043,0 4.8238250801,52.4166950178,0 4.82445084925,52.4192729586,0 4.82529038399,52.4191439255,0 4.82798267628,52.4182704789,0 4.84011100619,52.4165115925,0 4.84035407614,52.4161109662,0 4.83817124445,52.4143356942,0 4.82742603399,52.4156740094,0 4.827152693,52.4148557383,0 4.83656401407,52.4136829209,0 4.83195727139,52.4096070808,0 4.83460341689,52.4084879044,0 4.84090993442,52.414065242,0 4.8441264005,52.4127058151,0 4.83955395385,52.4086609869,0 4.84057134716,52.4082711267,0 4.8427542328,52.4102647581,0 4.84382089228,52.4083750539,0 4.8509984063,52.4052315141,0 4.8523147498,52.4063564303,0 4.84646252869,52.4089192109,0 4.84431253302,52.4164671058,0 4.85568552787,52.4153331988,0 4.85400965211,52.4132764835,0 4.85354457198,52.4123522557,0 4.85373492902,52.4116790385,0 4.85429889186,52.4112250033,0 4.85505069688,52.4107933797,0 4.85643693703,52.4105227782,0 4.85737294481,52.4106617827,0 4.85849434746,52.4110298939,0 4.85933373729,52.4120016075,0 4.86013398346,52.4131780593,0 4.85814568537,52.4137659777,0 4.85714127981,52.4122129152,0 4.8566178576,52.4119831846,0 4.85590648646,52.4121067226,0 4.85612745609,52.4126775309,0 4.85754093864,52.4149271769,0 4.86222913354,52.4134911438,0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
1042,10,Amsterdam,"<Polygon><outerBoundaryIs><LinearRing><coordinates>4.84897765481,52.4005253885,0 4.84558452314,52.396947202,0 4.84356277577,52.3968318853,0 4.84236133014,52.3957235745,0 4.84111025875,52.3954284091,0 4.8386066962,52.3962625825,0 4.83665602126,52.3951606271,0 4.82823851222,52.395199395,0 4.82822879226,52.3958536542,0 4.82250951372,52.3958229301,0 4.82247528912,52.3981631663,0 4.83427146631,52.3982269083,0 4.83425146253,52.3995947425,0 4.8225783384,52.3995315864,0 4.82255012557,52.4013999952,0 4.83422961919,52.4014631822,0 4.83421190008,52.4026476773,0 4.82203252558,52.4025812069,0 4.82090440342,52.4050788928,0 4.83444826041,52.4051392688,0 4.83063526111,52.4067436932,0 4.8203599906,52.4068558524,0 4.8132175065,52.4198113618,0 4.8140025636,52.4201468073,0 4.82052460176,52.4192641326,0 4.82089941897,52.4189216969,0 4.8217599029,52.4187640284,0 4.82445084925,52.4192729586,0 4.8238250801,52.4166950178,0 4.82406548743,52.4145499043,0 4.82503204958,52.4126275367,0 4.82715481987,52.4099206148,0 4.84897765481,52.4005253885,0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
1043,50,Amsterdam,"<Polygon><outerBoundaryIs><LinearRing><coordinates>4.84558452314,52.396947202,0 4.84450633107,52.3951276511,0 4.84493844879,52.3851451868,0 4.84001470895,52.385035358,0 4.81202858684,52.3853692023,0 4.7985821629,52.3852851549,0 4.7979205226,52.4006949283,0 4.80499046213,52.4003029728,0 4.80749806029,52.3972046231,0 4.8091766677,52.3950099367,0 4.80940087525,52.3947162334,0 4.82824328351,52.394821035,0 4.82823851222,52.395199395,0 4.83665602126,52.3951606271,0 4.8386066962,52.3962625825,0 4.84111025875,52.3954284091,0 4.84236133014,52.3957235745,0 4.84356277577,52.3968318853,0 4.84558452314,52.396947202,0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
1044,5,Amsterdam,"<Polygon><outerBoundaryIs><LinearRing><coordinates>4.81861481019,52.4011906316,0 4.81841718228,52.3970112974,0 4.80749806029,52.3972046231,0 4.80499046213,52.4003029728,0 4.7979205226,52.4006949283,0 4.80726841473,52.4211539131,0 4.80929443966,52.4195550181,0 4.81051339989,52.417046205,0 4.81861481019,52.4011906316,0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
1045,70,Amsterdam,"<Polygon><outerBoundaryIs><LinearRing><coordinates>4.80726841473,52.4211539131,0 4.7979205226,52.4006949283,0 4.77834586157,52.4006606405,0 4.77829402549,52.4091384953,0 4.79304313827,52.409171144,0 4.79302859123,52.4117900881,0 4.77981004173,52.4117608038,0 4.77928767522,52.4118048606,0 4.77857672314,52.4118820998,0 4.77822125077,52.4122946066,0 4.77198379956,52.4244470115,0 4.77209451743,52.4248376522,0 4.77373781211,52.425395319,0 4.8026000595,52.4217798829,0 4.8021890511,52.4213994732,0 4.79536752555,52.4221996545,0 4.79504181046,52.4211617474,0 4.79596868964,52.4204455638,0 4.79752042236,52.4203822937,0 4.80034963436,52.4170996577,0 4.80397234331,52.4182661716,0 4.80527341082,52.4213876981,0 4.80726841473,52.4211539131,0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
1046,15,Amsterdam,"<Polygon><outerBoundaryIs><LinearRing><coordinates>4.7985821629,52.3852851549,0 4.75881360339,52.3846817475,0 4.75821906672,52.3887985866,0 4.76999160953,52.3893233969,0 4.77574674333,52.4004315464,0 4.77834745439,52.4004377529,0 4.77834586157,52.4006606405,0 4.7979205226,52.4006949283,0 4.7985821629,52.3852851549,0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
