OBJECTNUMMER;SELECTIE;FILTER;Naam;Sportvoorziening;Locatie;Omheining;Ondergrond;Verlichting;Omschrijving;Oppervlak;Foto;COORDS;CENTERLNG1;CENTERLAT1;CENTERLNG2;CENTERLAT2;
381;"VOETBAL";"";"JEUGDLAND";"Voetbal";"Sportpark";"Veldafscheiding";"Kunstgras";"Ja";"Voetbalveld met belijning, lange zijden veld hebben ook kleine doelen";2334;"Jeugdland_2.jpg";"POINT(4.953399 52.358322)";4.953399;52.358322;4,953399;52,358322;
382;"VOETBAL";"";"KRAMATWEG";"Voetbal";"Plantsoen";"Geen";"Asfalt";"Nee";"Voetbalveld met belijning";865;"Kramatweg_1.jpg";"POINT(4.946753 52.36387)";4.946753;52.36387;4,946753;52,36387;
383;"VOETBAL";"";"MAKASSERPLEIN";"Voetbal";"Plein";"Ballenvangers";"Asfalt";"Ja";"Voetbalveld, veld ligt verdiept";613;"Makasserplein_1.jpg";"POINT(4.941345 52.36438)";4.941345;52.36438;4,941345;52,36438;
384;"VOETBAL";"";"HILDO KROPPLEIN";"Voetbal";"Plantsoen";"Ballenvangers";"Asfalt";"Ja";"Voetbalveld, veld ligt verdiept, zitbanken naast veld, combi-veld";671;"HildoKropplein_1.jpg";"POINT(4.9425 52.367799)";4.9425;52.367799;4,9425;52,367799;
385;"VOETBAL";"";"BORNEOLAAN";"Voetbal";"Straat";"Kooi gesloten";"Asfalt";"Ja";"Voetbalveld, tevens basketbalveld, zitbanken naast veld, combi-veld";222;"Borneolaan.jpg";"POINT(4.939132 52.371337)";4.939132;52.371337;4,939132;52,371337;
386;"VOETBAL";"";"RIETLANDPARK";"Voetbal";"Plantsoen";"Kooi gesloten";"Asfalt";"Nee";"Voetbalveld, kleine doelen, zitbanken naast veld";245;"Rietlandpark_2.jpg";"POINT(4.934425 52.373539)";4.934425;52.373539;4,934425;52,373539;
387;"VOETBAL";"";"ERTSKADE";"Voetbal";"Plantsoen";"Ballenvangers";"Gras";"Nee";"Voetbalveld, zitbanken naast veld";1267;"Ertskade.jpg";"POINT(4.944856 52.374504)";4.944856;52.374504;4,944856;52,374504;
388;"VOETBAL";"";"LEVANTPLEIN";"Voetbal";"Plein";"Geen";"Asfalt";"Ja";"Voetbalveld met belijning, veld ligt verdiept, zitbanken naast veld";1304;"Levantplein.jpg";"POINT(4.942779 52.376608)";4.942779;52.376608;4,942779;52,376608;
389;"VOETBAL";"";"SUMATRAKADE";"Voetbal";"Plein";"Ballenvangers";"Asfalt";"Ja";"Voetbalveld met belijning";509;"Sumatrakade_1.jpg";"POINT(4.922302 52.379936)";4.922302;52.379936;4,922302;52,379936;
390;"VOETBAL";"";"WAGENAARSTRAAT";"Voetbal";"Straat";"Kooi open";"Stoeptegels";"Nee";"Voetbalveld, zitbanken naast veld, combi-veld";237;"Wagenaarstraat.jpg";"POINT(4.929828 52.363626)";4.929828;52.363626;4,929828;52,363626;
391;"VOETBAL";"";"DWARSSTRAAT";"Voetbal";"Schoolplein";"Ballenvangers";"Asfalt";"Nee";"Voetbalveld, kleine doelen, zitbanken naast veld, ballenvangers (1 zijde)";331;"SDwarsstraat.jpg";"POINT(4.925785 52.361417)";4.925785;52.361417;4,925785;52,361417;
392;"VOETBAL";"";"OOSTERPARK";"Voetbal";"Speeltuin";"Ballenvangers";"Asfalt";"Nee";"Voetbalveld met belijning, speeltuin Oosterpark, zitbanken naast veld, combi-veld";930;"Oosterpark_3.jpg";"POINT(4.916487 52.3605)";4.916487;52.3605;4,916487;52,3605;
393;"VOETBAL";"";"BOERHAVEPLEIN";"Voetbal";"Plein";"Geen";"Stoeptegels";"Nee";"Voetbalveld, kleine doelen, zitbanken naast veld";690;"Boerhaveplein.jpg";"POINT(4.912661 52.359936)";4.912661;52.359936;4,912661;52,359936;
394;"VOETBAL";"";"MAURITSSTRAAT";"Voetbal";"Plantsoen";"Kooi open";"Stoeptegels";"Nee";"Voetbalveld";312;"Mauritsstraat.jpg";"POINT(4.907515 52.359376)";4.907515;52.359376;4,907515;52,359376;
395;"VOETBAL";"";"MARITZSTRAAT";"Voetbal";"Plantsoen";"Ballenvangers";"Asfalt";"Ja";"Voetbalveld met belijning, combi-veld";535;"Maritzstraat_1.jpg";"POINT(4.918846 52.355296)";4.918846;52.355296;4,918846;52,355296;
396;"VOETBAL";"";"TRANSVAALKWARTIER";"Voetbal";"Speeltuin";"Ballenvangers";"Asfalt";"Nee";"Voetbalveld met belijning, speeltuin Transvaalkwartier, zitbanken naast veld, combi-veld";1114;"Transvaalkwartier_1.jpg";"POINT(4.91681 52.353518)";4.91681;52.353518;4,91681;52,353518;
397;"VOETBAL";"";"TRANSVAALPLEIN";"Voetbal";"Plein";"Geen";"Asfalt";"Nee";"Voetbalveld, veld ligt verdiept, kleine doelen, zitbanken naast veld";308;"Transvaalplein.jpg";"POINT(4.923074 52.353848)";4.923074;52.353848;4,923074;52,353848;
398;"VOETBAL";"";"POLDERWEG";"Voetbal";"Straat";"Kooi open";"Asfalt";"Nee";"Voetbalveld, kleine doelen, combi-veld";400;"Polderweg_1.jpg";"POINT(4.930075 52.358189)";4.930075;52.358189;4,930075;52,358189;
399;"VOETBAL";"";"LINNAEUSKADE";"Voetbal";"Plantsoen";"Kooi open";"Stoeptegels";"Nee";"Voetbalveld, zitbanken naast veld, combi-veld";145;"Linnaeuskade.jpg";"POINT(4.930889 52.356125)";4.930889;52.356125;4,930889;52,356125;
400;"VOETBAL";"";"FRAUNHOFERSTRAAT";"Voetbal";"Plein";"Kooi open";"Stoeptegels";"Ja";"Voetbalveld, zitbanken naast veld";316;"Fraunhoferstraat.jpg";"POINT(4.936723 52.351105)";4.936723;52.351105;4,936723;52,351105;
401;"VOETBAL";"";"LINNAEUSPARKKWARTIER";"Voetbal";"Speeltuin";"Ballenvangers";"Asfalt";"Nee";"Voetbalveld met belijning, speeltuin Linnaeusparkkwartier, zitbanken naast het veld, combi-veld";842;"Linnaeusparkkwartier_1.jpg";"POINT(4.939359 52.351745)";4.939359;52.351745;4,939359;52,351745;
402;"VOETBAL";"";"OSTWALDSTRAAT";"Voetbal";"Plantsoen";"Hekwerk laag";"Asfalt";"Ja";"Voetbalveld met belijning, zitbanken naast veld";716;"Ostwaldstraat_1.jpg";"POINT(4.934542 52.347646)";4.934542;52.347646;4,934542;52,347646;
403;"VOETBAL";"";"SPEELTUINOOST";"Voetbal";"Speeltuin";"Ballenvangers";"Asfalt";"Ja";"Voetbalveld met belijning, speeltuin Oost, zitbanken naast veld";1421;"SpeeltuinOost_1.jpg";"POINT(4.948113 52.339159)";4.948113;52.339159;4,948113;52,339159;
404;"VOETBAL";"";"RUSTHOFSTRAAT";"Voetbal";"Plantsoen";"Ballenvangers";"Asfalt";"Nee";"Voetbalveld met belijning, zitbanken naast veld";532;"Rusthofstraat_1.jpg";"POINT(4.921232 52.343343)";4.921232;52.343343;4,921232;52,343343;
405;"VOETBAL";"";"DONBOSCO";"Voetbal";"Speeltuin";"Ballenvangers";"Asfalt";"Nee";"Voetbalveld, speeltuin Don Bosco, zitbanken naast veld, combi-veld";476;"DonBosco_1.jpg";"POINT(4.924706 52.352219)";4.924706;52.352219;4,924706;52,352219;
406;"VOETBAL";"";"WAAG";"Voetbal";"Speeltuin";"Kooi gesloten";"Stoeptegels";"Nee";"Voetbalveld, speeltuin De Waag, zitbanken naast veld";553;"DeWaag.jpg";"POINT(4.90413 52.372323)";4.90413;52.372323;4,90413;52,372323;
407;"VOETBAL";"";"PYRAMIDE";"Voetbal";"Speeltuin";"Kooi open";"Asfalt";"Nee";"Voetbalveld met belijning, speeltuin Pyramide, zitbanken naast veld, combi-veld";931;"Pyramide_1.jpg";"POINT(4.893025 52.38059)";4.893025;52.38059;4,893025;52,38059;
408;"VOETBAL";"";"NOORDERSPEELTUIN";"Voetbal";"Speeltuin";"Ballenvangers";"Asfalt";"Nee";"Voetbalveld met belijning, speeltuin NoorderSpeeltuin, zitbanken naast veld, combi-veld";742;"NoorderSpeeltuin_1.jpg";"POINT(4.882305 52.379179)";4.882305;52.379179;4,882305;52,379179;
409;"VOETBAL";"";"GROENMARKTKADE";"Voetbal";"Plein";"Kooi gesloten";"Stoeptegels";"Nee";"Voetbalveld, zitbanken naast veld, combi-veld";207;"Groenmarktkade.jpg";"POINT(4.87567 52.371197)";4.87567;52.371197;4,87567;52,371197;
410;"VOETBAL";"";"UJKLAREN";"Voetbal";"Speeltuin";"Ballenvangers";"Stoeptegels";"Nee";"Voetbalveld, speeltuin U J Klaren, zitbanken naast veld";529;"UJKlaren_1.jpg";"POINT(4.892373 52.358676)";4.892373;52.358676;4,892373;52,358676;
411;"VOETBAL";"";"AMSTELVELD";"Voetbal";"Plein";"Geen";"Stoeptegels";"Nee";"Voetbalveld, zitbanken naast veld";1805;"Amstelveld.jpg";"POINT(4.897529 52.362382)";4.897529;52.362382;4,897529;52,362382;
412;"VOETBAL";"";"GESCHUTSWERF";"Voetbal";"Plein";"Kooi gesloten";"Asfalt";"Nee";"Voetbalveld, zitbanken naast veld, combi-veld";712;"Geschutswerf_1.jpg";"POINT(4.921013 52.367079)";4.921013;52.367079;4,921013;52,367079;
413;"VOETBAL";"";"WITTENBURG";"Voetbal";"Plein";"Ballenvangers";"Asfalt";"Nee";"Voetbalveld met belijning, zitbanken naast veld";717;"Wittenburg.jpg";"POINT(4.924157 52.372465)";4.924157;52.372465;4,924157;52,372465;
414;"VOETBAL";"";"OOSTENBURGKADE";"Voetbal";"Plantsoen";"Ballenvangers";"Asfalt";"Nee";"Voetbalveld, zitbanken naast veld, ballenvangers (3 zijden)";383;"Oostenburgerkade.jpg";"POINT(4.929401 52.370868)";4.929401;52.370868;4,929401;52,370868;
415;"VOETBAL";"";"RAVENWERF";"Voetbal";"Plantsoen";"Kooi gesloten";"Asfalt";"Nee";"Voetbalveld met belijning, zitbanken naast veld";383;"Ravenwerf.jpg";"POINT(4.921863 52.3742)";4.921863;52.3742;4,921863;52,3742;
416;"VOETBAL";"";"MEERHUIZENPLEIN";"Voetbal";"Plein";"Ballenvangers";"Stoeptegels";"Nee";"Voetbalveld, veld ligt verdiept, zitbanken naast veld, combi-veld, ballenvangers (1 zijde)";355;"Meerhuizenplein.jpg";"POINT(4.907935 52.347658)";4.907935;52.347658;4,907935;52,347658;
417;"VOETBAL";"";"BERKELSTRAAT";"Voetbal";"Plein";"Ballenvangers";"Asfalt";"Nee";"Voetbalveld met belijning, zitbanken naast veld";600;"Berkelstraat.jpg";"POINT(4.902665 52.347718)";4.902665;52.347718;4,902665;52,347718;
418;"VOETBAL";"";"JEKERSTRAAT";"Voetbal";"Plantsoen";"Ballenvangers";"Stoeptegels";"Nee";"Voetbalveld, combi-veld";580;"Jekerstraat_1.jpg";"POINT(4.896476 52.346002)";4.896476;52.346002;4,896476;52,346002;
419;"VOETBAL";"";"KENNEDYPLANTSOEN";"Voetbal";"Plantsoen";"Geen";"Stoeptegels";"Nee";"Voetbalveld, kleine doelen, veld ligt verdiept, zitbanken naast veld, combi-veld";291;"PKennedyplantsoen_1.jpg";"POINT(4.899439 52.340847)";4.899439;52.340847;4,899439;52,340847;
420;"VOETBAL";"";"GAASPSTRAAT";"Voetbal";"Speeltuin";"Ballenvangers";"Asfalt";"Nee";"Voetbalveld met belijning, speeltuin Amsterdam Zuid, zitbanken naast veld";1344;"Gaaspstraat_1.jpg";"POINT(4.907616 52.34452)";4.907616;52.34452;4,907616;52,34452;
421;"VOETBAL";"";"OPVELD";"Voetbal";"Plantsoen";"Ballenvangers";"Gras";"Nee";"Voetbalveld, zitbanken naast veld";1535;"Opveld_1.jpg";"POINT(4.881217 52.323811)";4.881217;52.323811;4,881217;52,323811;
422;"VOETBAL";"";"ZEELANDSTRAAT";"Voetbal";"Plantsoen";"Hekwerk laag";"Stoeptegels";"Nee";"Voetbalveld, zitbanken naast veld";305;"Zeelandstraat_1.jpg";"POINT(4.878244 52.327258)";4.878244;52.327258;4,878244;52,327258;
423;"VOETBAL";"";"GOUDESTEIN";"Voetbal";"Speeltuin";"Ballenvangers";"Asfalt";"Nee";"Voetbalveld met belijning, speeltuin Goudestein, zitbanken naast veld";534;"Goudestein_1.jpg";"POINT(4.861363 52.325737)";4.861363;52.325737;4,861363;52,325737;
424;"VOETBAL";"";"ZUIDPLEIN";"Voetbal";"Plantsoen";"Geen";"Gras";"Nee";"Voetbalveld, zitbanken naast veld";1480;"Zuidplein.jpg";"POINT(4.87308 52.341293)";4.87308;52.341293;4,87308;52,341293;
425;"VOETBAL";"";"VELD 14";"Voetbal";"Sportveld";"Kooi gesloten";"Asfalt";"Ja";"Voetbalveld, combi-veld";1436;"";"POINT(4.951715 52.347432)";4.951715;52.347432;4,951715;52,347432;
426;"VOETBAL";"";"SIBOGAPLEIN";"Voetbal";"Plein";"Kooi";"Asfalt";"Ja";"Voetbalkooi";415;"";"POINT(4.93701 52.359034)";4.93701;52.359034;4,93701;52,359034;
427;"VOETBAL";"";"MARCANTIEILAND";"Voetbal";"Plantsoen";"Hekwerk laag";"Kunstgras";"Ja";"Voetbalveld (twee delen) met bankjes";173;"";"POINT(4.865038 52.375078)";4.865038;52.375078;4,865038;52,375078;
428;"VOETBAL";"";"REMBRANDTPARK";"Voetbal";"Park";"Geen";"Gras";"Nee";"Voetbalveld met twee doelen";1613;"";"POINT(4.845846 52.366489)";4.845846;52.366489;4,845846;52,366489;
429;"VOETBAL";"";"SLOTERPARK";"Voetbal";"Park";"Geen";"Gras";"Nee";"Voetbalveld met twee doelen";1085;"";"POINT(4.825084 52.365431)";4.825084;52.365431;4,825084;52,365431;
430;"VOETBAL";"";"DIEPENBEEKPLANTSOEN";"Voetbal";"Plantsoen";"Geen";"Kunstgras";"Nee";"Voetbalveld met twee kleine doeltjes";136;"";"POINT(4.818107 52.348528)";4.818107;52.348528;4,818107;52,348528;
431;"VOETBAL";"";"WOLBRANTSKERKWEG";"Voetbal";"Straat";"Hekwerk laag";"Asfalt";"Nee";"Pannacourt dit najaar klaar";238;"";"POINT(4.797062 52.355067)";4.797062;52.355067;4,797062;52,355067;
432;"VOETBAL";"";"EVERTSWEERTPLANTSOEN";"Voetbal";"Plantsoen";"Hekwerk";"Asfalt";"Nee";"Voetbalveld ligt bij bredeschool de Kikker, ook gebruikt als schoolplein";311;"";"POINT(4.792565 52.355476)";4.792565;52.355476;4,792565;52,355476;
433;"VOETBAL";"";"NIEUWE HOUTTUINEN";"Voetbal";"Plein";"Geen";"Tegels";"Ja";"Pannaveldje";35;"";"POINT(4.887356 52.383164)";4.887356;52.383164;4,887356;52,383164;
434;"VOETBAL";"";"TUINSTRAAT";"Voetbal";"Straat";"Hekwerk laag";"Tegels";"Nee";"Pannaveldje";141;"";"POINT(4.881156 52.376873)";4.881156;52.376873;4,881156;52,376873;
435;"VOETBAL";"";"NOORDKAPERWEG";"Voetbal";"Straat";"Ballenvangers";"Asfalt";"Nee";"Voetbalveld met belijning, kleine doelen";469;"Noordkaperweg.jpg";"POINT(4.884146 52.421482)";4.884146;52.421482;4,884146;52,421482;
436;"TENNIS";"";"AMERBOS";"Tennis";"Plantsoen";"Geen";"Asfalt";"Nee";"Tennisveld, zitbanken naast veld";644;"Amerbos.jpg";"POINT(4.943924 52.40468)";4.943924;52.40468;4,943924;52,40468;
437;"TENNIS";"";"BREEDVELD";"Tennis";"Plein";"Ballenvangers";"Asfalt";"Nee";"Tennisveld met belijning";534;"Breedveld_3.jpg";"POINT(4.935598 52.396875)";4.935598;52.396875;4,935598;52,396875;
438;"TENNIS";"";"KABELGASTSTRAAT";"Tennis";"Plein";"Hekwerk laag";"Asfalt";"Nee";"Tennisveld";430;"Kabelgaststraat.jpg";"POINT(4.89535 52.405379)";4.89535;52.405379;4,89535;52,405379;
439;"TENNIS";"";"PONSERSTRAAT";"Tennis";"Plein";"Hekwerk laag";"Asfalt";"Nee";"Tennisveld";298;"Ponserstraat.jpg";"POINT(4.898865 52.403748)";4.898865;52.403748;4,898865;52,403748;
440;"TENNIS";"";"JOOS BANCKERSWEG";"Tennis";"Sportpark";"Ballenvangers";"Asfalt";"Nee";"Tennisveld met belijning";288;"JoosBanckersweg_2.jpg";"POINT(4.856552 52.376155)";4.856552;52.376155;4,856552;52,376155;
441;"TENNIS";"";"OLYMPIAPLEIN";"Tennis";"Plein";"Kooi open";"Asfalt";"Ja";"Tennismuur, zitbanken naast veld";209;"Olympiaplein_4.jpg";"POINT(4.86748 52.347065)";4.86748;52.347065;4,86748;52,347065;
442;"TENNIS";"";"MERCATOR";"Tennis";"Speeltuin";"Ballenvangers";"Asfalt";"Nee";"Tennisveld met belijning";696;"Mercator_3.jpg";"POINT(4.846476 52.370231)";4.846476;52.370231;4,846476;52,370231;
443;"TENNIS";"";"EENDRACHTSPARK";"Tennis";"Park";"Ballenvangers";"Asfalt";"Nee";"Tennisveld met belijning, zitbanken naast veld";866;"Eendrachtspark_4.jpg";"POINT(4.811028 52.381712)";4.811028;52.381712;4,811028;52,381712;
444;"TENNIS";"";"WARNERHOF";"Tennis";"Plantsoen";"Ballenvangers";"Asfalt";"Nee";"Tennisveld met belijning, zitbanken naast veld";920;"JWarnerhof.jpg";"POINT(4.799488 52.374717)";4.799488;52.374717;4,799488;52,374717;
445;"TENNIS";"";"SENECASTRAAT";"Tennis";"Plantsoen";"Ballenvangers";"Asfalt";"Nee";"Tennisveld met belijning";700;"Senecastraat.jpg";"POINT(4.812876 52.372823)";4.812876;52.372823;4,812876;52,372823;
446;"TENNIS";"";"GERBRANDYPARK";"Tennis";"Park";"Ballenvangers";"Asfalt";"Nee";"Tennisveld met belijning, veld ligt verdiept";674;"Gerbrandypark_3.jpg";"POINT(4.835435 52.377245)";4.835435;52.377245;4,835435;52,377245;
447;"TENNIS";"";"GERBRANDYPARK";"Tennis";"Park";"Ballenvangers";"Asfalt";"Nee";"Tennisveld met belijning, veld ligt verdiept";696;"Gerbrandypark_3.jpg";"POINT(4.835715 52.377192)";4.835715;52.377192;4,835715;52,377192;
448;"TENNIS";"";"REMIJDEN";"Tennis";"Plantsoen";"Ballenvangers";"Stoeptegels";"Nee";"Tennisveld, zitbanken naast veld";324;"Remijden_1.jpg";"POINT(4.802568 52.361682)";4.802568;52.361682;4,802568;52,361682;
449;"TENNIS";"";"SPEELTUIN SLOTEN";"Tennis";"Speeltuin";"Ballenvangers";"Asfalt";"Nee";"Tennisveld met belijning, speeltuin Sloten";749;"Sloten_1.jpg";"POINT(4.796026 52.342443)";4.796026;52.342443;4,796026;52,342443;
450;"TENNIS";"";"WESTERSPEELTUIN";"Tennis";"Speeltuin";"Hekwerk";"Asfalt";"Nee";"Tennisveld, speeltuin Westerspeeltuin, combi-veld, zitbanken naast veld";379;"Westerspeeltuin_1.jpg";"POINT(4.858585 52.359519)";4.858585;52.359519;4,858585;52,359519;
451;"TENNIS";"";"WESTERHOVEN";"Tennis";"Speeltuin";"Hekwerk laag";"Asfalt";"Nee";"Tennisveld met belijning, zitbanken naast veld";319;"MvWesterhoven_3.jpg";"POINT(4.825051 52.352983)";4.825051;52.352983;4,825051;52,352983;
452;"TENNIS";"";"TERPSTRAAT";"Tennis";"Plantsoen";"";"";"";"Tennisveld met belijning";;"";"POINT(4.779012 52.357614)";4.779012;52.357614;4,779012;52,357614;
524;"JEUDEBOULES";"";"Weesperzijde (ter hoogte van Hesp)";"Jeu de boules";"Straat";"Geen";"";"";"";;"";"POINT(4.912151 52.349965)";4.912151;52.349965;4,912151;52,349965;
453;"TENNIS";"";"WESTERPARK";"Tennis";"Park";"Ballenvangers";"Asfalt";"Nee";"Tennisveld met belijning";603;"Westerpark_2.jpg";"POINT(4.875745 52.387689)";4.875745;52.387689;4,875745;52,387689;
454;"TENNIS";"";"WESTERPARK";"Tennis";"Park";"Ballenvangers";"Asfalt";"Nee";"Tennisveld met belijning";581;"Westerpark_2.jpg";"POINT(4.875967 52.387537)";4.875967;52.387537;4,875967;52,387537;
455;"TENNIS";"";"DANTESTRAAT";"Tennis";"Plantsoen";"Ballenvangers";"Asfalt";"Nee";"Tennisveld met belijning, zitbanken naast veld";626;"Dantestraat.jpg";"POINT(4.949012 52.325375)";4.949012;52.325375;4,949012;52,325375;
456;"TENNIS";"";"SERRURIERSTRAAT";"Tennis";"Plantsoen";"Ballenvangers";"Asfalt";"Ja";"Tennisveld met belijning, zitbanken naast veld";452;"WSerrurierstraat.jpg";"POINT(4.9868 52.292596)";4.9868;52.292596;4,9868;52,292596;
457;"TENNIS";"";"SCHAEFFERPAD";"Tennis";"Plein";"Ballenvangers";"Asfalt";"Ja";"Tennisveld met belijning, zitbanken naast veld";458;"JSchaefferpad_1.jpg";"POINT(4.990942 52.291657)";4.990942;52.291657;4,990942;52,291657;
458;"TENNIS";"";"WAMELPLEIN";"Tennis";"Plantsoen";"Ballenvangers";"Asfalt";"Ja";"Tennisveld met belijning, zitbanken naast veld";481;"Wamelplein.jpg";"POINT(4.986456 52.299911)";4.986456;52.299911;4,986456;52,299911;
459;"TENNIS";"";"PARKHOF";"Tennis";"Plein";"Ballenvangers";"Asfalt";"Nee";"Tennisveld met belijning";729;"Parkhof_4.jpg";"POINT(4.979838 52.297345)";4.979838;52.297345;4,979838;52,297345;
460;"TENNIS";"";"REIGERSBOSPAD";"Tennis";"Park";"Ballenvangers";"Asfalt";"Nee";"Tennisveld met belijning, zitbanken naast veld";631;"Reigersbospad_7.jpg";"POINT(4.971811 52.303015)";4.971811;52.303015;4,971811;52,303015;
461;"TENNIS";"";"LEUSDENHOF";"Tennis";"Plantsoen";"Ballenvangers";"Asfalt";"Ja";"Tennisveld met belijning, zitbanken naast veld";664;"Leusdenhof.jpg";"POINT(4.981344 52.30738)";4.981344;52.30738;4,981344;52,30738;
462;"TENNIS";"";"GROENHOVEN";"Tennis";"Plantsoen";"Ballenvangers";"Asfalt";"Nee";"Tennisveld met belijning, zitbanken naast veld";280;"Groenhoven.jpg";"POINT(4.97766 52.325388)";4.97766;52.325388;4,97766;52,325388;
463;"TENNIS";"";"KRAAIENNEST";"Tennis";"Plein";"Ballenvangers";"Asfalt";"Ja";"Tennisveld met belijning, zitbanken naast veld";658;"Kraaiennest_1.jpg";"POINT(4.979691 52.318169)";4.979691;52.318169;4,979691;52,318169;
464;"TENNIS";"";"KRAAIENNEST";"Tennis";"Plein";"Ballenvangers";"Asfalt";"Nee";"Tennisveld met belijning, zitbanken naast veld";628;"Kraaiennest_3.jpg";"POINT(4.978459 52.318227)";4.978459;52.318227;4,978459;52,318227;
465;"TENNIS";"";"KRAAIENNEST";"Tennis";"Plein";"Ballenvangers";"Asfalt";"Nee";"Tennisveld met belijning, zitbanken naast veld";637;"Kraaiennest_4.jpg";"POINT(4.978577 52.318093)";4.978577;52.318093;4,978577;52,318093;
466;"TENNIS";"";"KRAAIENNEST";"Tennis";"Plein";"Ballenvangers";"Asfalt";"Ja";"Tennisveld met belijning, zitbanken naast veld";159;"Kraaiennest_2.jpg";"POINT(4.979329 52.317664)";4.979329;52.317664;4,979329;52,317664;
467;"TENNIS";"";"KRAAIENNEST";"Tennis";"Plein";"Ballenvangers";"Asfalt";"Ja";"Tennisveld met belijning, zitbanken naast veld";162;"Kraaiennest_2.jpg";"POINT(4.979446 52.317709)";4.979446;52.317709;4,979446;52,317709;
468;"TENNIS";"";"KRAAIENNEST";"Tennis";"Plein";"Ballenvangers";"Asfalt";"Ja";"Tennisveld met belijning, zitbanken naast veld";162;"Kraaiennest_2.jpg";"POINT(4.979563 52.317746)";4.979563;52.317746;4,979563;52,317746;
469;"TENNIS";"";"KRAAIENNEST";"Tennis";"Plein";"Ballenvangers";"Asfalt";"Ja";"Tennisveld met belijning, zitbanken naast veld";168;"Kraaiennest_2.jpg";"POINT(4.97968 52.317791)";4.97968;52.317791;4,97968;52,317791;
470;"TENNIS";"";"KRAAIENNEST";"Tennis";"Plein";"Kooi open";"Asfalt";"Nee";"Tennismuur met belijning";336;"Kraaiennest_8.jpg";"POINT(4.979521 52.317548)";4.979521;52.317548;4,979521;52,317548;
471;"TENNIS";"";"KARTINISTRAAT";"Tennis";"Plantsoen";"Ballenvangers";"Asfalt";"Nee";"Tennisveld met belijning, zitbanken naast veld";697;"RAKartinistraat_2.jpg";"POINT(4.967193 52.321603)";4.967193;52.321603;4,967193;52,321603;
472;"TENNIS";"";"RIETLANDPARK";"Tennis";"Plantsoen";"Ballenvangers";"Asfalt";"Nee";"Tennisveld met belijning, 2 lange zijden laag dubbelstaafmat hekwerk, zitbanken naast veld";659;"Rietlandpark_1.jpg";"POINT(4.935761 52.372142)";4.935761;52.372142;4,935761;52,372142;
473;"TENNIS";"";"OOSTERPARK";"Tennis";"Park";"Ballenvangers";"Asfalt";"Nee";"Tennisveld, veld ligt verdiept, zitbanken naast veldt";825;"Oosterpark_1.jpg";"POINT(4.920148 52.361386)";4.920148;52.361386;4,920148;52,361386;
474;"TENNIS";"";"OOSTERPARK";"Tennis";"Speeltuin";"Ballenvangers";"Asfalt";"Ja";"Tennisveld, speeltuin Oosterpark, zitbanken naast veld";522;"Oosterpark_5.jpg";"POINT(4.916551 52.360024)";4.916551;52.360024;4,916551;52,360024;
475;"TENNIS";"";"OSTWALDSTRAAT";"Tennis";"Plantsoen";"Hekwerk laag";"Asfalt";"Ja";"Tennisveld, zitbanken naast veld";471;"Ostwaldstraat_2.jpg";"POINT(4.934819 52.347818)";4.934819;52.347818;4,934819;52,347818;
476;"TENNIS";"";"OSTWALDSTRAAT";"Tennis";"Plantsoen";"Hekwerk laag";"Asfalt";"Ja";"Tennisveld, zitbanken naast veld";533;"Ostwaldstraat_2.jpg";"POINT(4.934732 52.347763)";4.934732;52.347763;4,934732;52,347763;
477;"TENNIS";"";"KINDERDIJKSTRAAT";"Tennis";"Plantsoen";"Hekwerk";"Asfalt";"Nee";"Tennisveld, zitbanken naast veld";632;"Kinderdijkstraat_2.jpg";"POINT(4.904577 52.34333)";4.904577;52.34333;4,904577;52,34333;
574;"VOETBAL";"";"Gijsbrecht van Aemstelpark";"Voetbal";"";"";"";"";"";;"";"POINT(4.884871 52.328471)";4.884871;52.328471;4,884871;52,328471;
552;"VOETBAL";"";"Winterdijkplein";"Voetbal";"Sportpark";"Hekwerk";"";"";"";;"";"POINT(4.904720 52.343005)";4.904720;52.343005;4,904720;52,343005;
479;"TENNIS";"";"SCHELLINGWOUDE";"Tennis";"Plantsoen";"Ballenvangers";"Onverhard";"Nee";"Tennismuur, ballenvanger bij muur";76;"Schellingwoude.jpg";"POINT(4.960146 52.384868)";4.960146;52.384868;4,960146;52,384868;
480;"SKATE";"";"CIRCUSPLEIN";"Skate";"Plein";"Geen";"Asfalt";"Nee";"Skatepark, veld ligt verdiept, zitbanken naast veld";645;"Circusplein.jpg";"POINT(4.884516 52.417322)";4.884516;52.417322;4,884516;52,417322;
481;"SKATE";"";"HOFWIJCK";"Skate";"Plein";"Geen";"Stoeptegels";"Nee";"Halfpipe, zitbanken naast veld";163;"Hofwijck_2.jpg";"POINT(4.851441 52.381057)";4.851441;52.381057;4,851441;52,381057;
482;"SKATE";"";"DE RUIJTER";"Skate";"Schoolplein";"Geen";"Geen";"Nee";"Halfpipe";52;"DeRuijter_2.jpg";"POINT(4.859969 52.378965)";4.859969;52.378965;4,859969;52,378965;
483;"SKATE";"";"MUSEUMPLEIN";"Skate";"Plein";"Geen";"Asfalt";"Ja";"Halfpipe, zitbanken naast veld";362;"Museumplein_2.jpg";"POINT(4.883821 52.358146)";4.883821;52.358146;4,883821;52,358146;
484;"SKATE";"";"BOCKESPRONG";"Skate";"Speeltuin";"Geen";"Asfalt";"Nee";"Skatepark";1048;"Bockesprong_2.jpg";"POINT(4.846572 52.355132)";4.846572;52.355132;4,846572;52,355132;
