OBJECTNUMMER;SELECTIE;FILTER;Naam;Sportvoorziening;Locatie;Omheining;Ondergrond;Verlichting;Omschrijving;Oppervlak;Foto;COORDS;CENTERLNG1;CENTERLAT1;CENTERLNG2;CENTERLAT2;
309;"VOETBAL";"";"SPORTPARK SLOTEN OOST";"Voetbal";"Sportpark";"Veldafscheiding";"Kunstgras";"Ja";"Voetbalveld met belijning";6404;"SportparkSlotenOost.jpg";"POINT(4.809674 52.340111)";4.809674;52.340111;4,809674;52,340111;
310;"VOETBAL";"";"KASTERLEEPARK";"Voetbal";"Plantsoen";"Kooi open";"Asfalt";"Ja";"Voetbalveld, kleine doelen, combi-veld, zitbanken naast veld";609;"Kasterleepark_1.jpg";"POINT(4.810789 52.346974)";4.810789;52.346974;4,810789;52,346974;
311;"VOETBAL";"";"KASTERLEEPARK";"Voetbal";"Plantsoen";"Geen";"Gras";"Nee";"Voetbalveld";3115;"Kasterleepark_2.jpg";"POINT(4.810295 52.348841)";4.810295;52.348841;4,810295;52,348841;
312;"VOETBAL";"";"WENTELBAAN";"Voetbal";"Speeltuin";"Ballenvangers";"Asfalt";"Ja";"Voetbalveld met belijning, zitbanken naast veld";349;"Wentelbaan_2.jpg";"POINT(4.83074 52.348795)";4.83074;52.348795;4,83074;52,348795;
313;"VOETBAL";"";"BODDAERTSTRAAT";"Voetbal";"Schoolplein";"Geen";"Stoeptegels";"Nee";"Voetbalveld met belijning, zitbanken naast veld";387;"EBoddaertstraat.jpg";"POINT(4.830599 52.349468)";4.830599;52.349468;4,830599;52,349468;
314;"VOETBAL";"";"WESTERHOVEN";"Voetbal";"Speeltuin";"Ballenvangers";"Asfalt";"Nee";"Voetbalveld met belijning, zitbanken naast veld";796;"MvWesterhoven_1.jpg";"POINT(4.825112 52.352759)";4.825112;52.352759;4,825112;52,352759;
315;"VOETBAL";"";"GEELSTRAAT";"Voetbal";"Plein";"Kooi open";"Asfalt";"Nee";"Voetbalveld met belijning, combi-veld, zitbanken naast veld";998;"JGeelstraat_1.jpg";"POINT(4.83226 52.359821)";4.83226;52.359821;4,83226;52,359821;
316;"VOETBAL";"";"SLOTERPARK";"Voetbal";"Park";"Geen";"Gras";"Nee";"Voetbalveld";883;"Sloterpark_1.jpg";"POINT(4.824494 52.364503)";4.824494;52.364503;4,824494;52,364503;
317;"VOETBAL";"";"MONDRIAANPLEIN";"Voetbal";"Plein";"Ballenvangers";"Asfalt";"Nee";"Voetbalveld met belijning, veld ligt verdiept, zitbanken naast veld";653;"Mondriaanplein_1.jpg";"POINT(4.838067 52.366301)";4.838067;52.366301;4,838067;52,366301;
318;"VOETBAL";"";"VETHSTRAAT";"Voetbal";"Plantsoen";"Ballenvangers";"Asfalt";"Nee";"Voetbalveld met belijning";728;"JanVethstraat.jpg";"POINT(4.838221 52.360936)";4.838221;52.360936;4,838221;52,360936;
319;"VOETBAL";"";"SLUIJTERSTRAAT";"Voetbal";"Plantsoen";"Ballenvangers";"Kunstgras";"Nee";"Voetbalveld, kleine doelen";241;"JSluijtersstraat.jpg";"POINT(4.83879 52.36004)";4.83879;52.36004;4,83879;52,36004;
320;"VOETBAL";"";"JONGKINDSTRAAT";"Voetbal";"Plantsoen";"Ballenvangers";"Asfalt";"Ja";"Voetbalveld met belijning, combi-veld, kleine doelen, zitbanken naast veld";546;"JJongkindstraat.jpg";"POINT(4.83708 52.358243)";4.83708;52.358243;4,83708;52,358243;
321;"VOETBAL";"";"DELFLANDPLEIN";"Voetbal";"Plein";"Kooi open";"Asfalt";"Nee";"Voetbalveld met belijning, combi-veld, zitbanken naast veld";1350;"Delflandplein_1.jpg";"POINT(4.839061 52.348843)";4.839061;52.348843;4,839061;52,348843;
322;"VOETBAL";"";"HONSELERSDIJKSTRAAT";"Voetbal";"Straat";"Hekwerk laag";"Stoeptegels";"Nee";"Voetbalveld, kleine doelen";87;"Honselersdijkstraat.jpg";"POINT(4.843305 52.347415)";4.843305;52.347415;4,843305;52,347415;
323;"VOETBAL";"";"SINT JAN DE DOPER";"Voetbal";"Schoolplein";"Kooi open";"Asfalt";"Nee";"Voetbalveld, zitbanken naast veld";730;"StJandeDoper.jpg";"POINT(4.844877 52.34966)";4.844877;52.34966;4,844877;52,34966;
324;"VOETBAL";"";"SPORTPARK RIEKERHAVEN";"Voetbal";"Sportpark";"Geen";"Gras";"Ja";"Voetbalveld";7230;"SportparkRiekerhaven.jpg";"POINT(4.839623 52.3425)";4.839623;52.3425;4,839623;52,3425;
325;"VOETBAL";"";"BEUNINGENPLEIN";"Voetbal";"Plein";"Hekwerk laag";"Asfalt";"Nee";"Voetbalveld, kleine doelen, combi-veld";407;"vBeuningenplein_3.jpg";"POINT(4.870664 52.381205)";4.870664;52.381205;4,870664;52,381205;
326;"VOETBAL";"";"BEUNINGENPLEIN";"Voetbal";"Plein";"Ballenvangers";"Asfalt";"Nee";"Voetbalveld, combi-veld";878;"vBeuningenplein_1.jpg";"POINT(4.87043 52.38115)";4.87043;52.38115;4,87043;52,38115;
327;"VOETBAL";"";"DONKER CURTIUSSTRAAT";"Voetbal";"Straat";"Ballenvangers";"Asfalt";"Nee";"Voetbalveld, kleine doelen, zitbanken naast veld";625;"DonkerCurtiusstraat.jpg";"POINT(4.870883 52.377521)";4.870883;52.377521;4,870883;52,377521;
328;"VOETBAL";"";"BEUNINGENSTRAAT";"Voetbal";"Straat";"Ballenvangers";"Asfalt";"Nee";"Voetbalveld";439;"vBeuningenstraat.jpg";"POINT(4.878451 52.384789)";4.878451;52.384789;4,878451;52,384789;
