"Bevolking en huishoudens; viercijferige postcode, 1 januari 2011"
"Onderwerpen";"Bevolking naar geslacht en leeftijd";"Bevolking naar geslacht en leeftijd";"Allochtonen naar herkomstgroepering";"Allochtonen naar herkomstgroepering";"Allochtonen naar herkomstgroepering";"Particuliere huishoudens: samenstelling";"Particuliere huishoudens: samenstelling";"Particuliere huishoudens: samenstelling";"Particuliere huishoudens: samenstelling";"Particuliere huishoudens: samenstelling";"Lokalisering van de postcode";"Lokalisering van de postcode"
"Onderwerpen";"Mannen";"Vrouwen";"Totaal allochtonen";"Westerse allochtoon";"Niet-westerse allochtoon";"Totaal particuliere huishoudens";"Eenpersoonshuishoudens";"Meerpersoonshuishoudens zonder kinderen";"Meerpersoonshuishoudens met kinderen";"Gemiddelde huishoudensgrootte";"Gemeentecode";"Gemeentenaam"
"Onderwerpen";"Totaal mannen";"Totaal vrouwen";"Totaal allochtonen";"Westerse allochtoon";"Niet-westerse allochtoon";"Totaal particuliere huishoudens";"Eenpersoonshuishoudens";"Meerpersoonshuishoudens zonder kinderen";"Meerpersoonshuishoudens met kinderen";"Gemiddelde huishoudensgrootte";"Gemeentecode";"Gemeentenaam"
"Postcodes op 1 januari";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"code";"naam"
"1061, Amsterdam";"5400";"5310";"9130";"720";"8410";"4430";"1900";"715";"1820";"2.42";"0363";"Amsterdam"
"1062, Amsterdam";"3875";"3930";"5150";"1075";"4075";"3925";"2055";"865";"1005";"1.97";"0363";"Amsterdam"
"1063, Amsterdam";"6340";"6105";"9000";"1295";"7705";"6030";"2930";"1130";"1965";"2.06";"0363";"Amsterdam"
"1064, Amsterdam";"8015";"7920";"10480";"1635";"8850";"7720";"3845";"1490";"2390";"2.04";"0363";"Amsterdam"
"1065, Amsterdam";"5130";"5560";"6430";"1355";"5070";"5320";"2640";"1150";"1530";"1.97";"0363";"Amsterdam"
"1066, Amsterdam";"8600";"8930";"8070";"2470";"5595";"7740";"2885";"1815";"3040";"2.24";"0363";"Amsterdam"
"1067, Amsterdam";"8110";"8320";"10755";"1720";"9030";"7220";"2860";"1615";"2740";"2.25";"0363";"Amsterdam"
"1068, Amsterdam";"7355";"8030";"8545";"1760";"6790";"8285";"4335";"1975";"1970";"1.86";"0363";"Amsterdam"
"1069, Amsterdam";"11060";"11985";"14780";"2520";"12265";"10770";"4790";"2390";"3585";"2.11";"0363";"Amsterdam"
"1071, Amsterdam";"6065";"6535";"4185";"3205";"980";"7090";"4010";"1555";"1520";"1.77";"0363";"Amsterdam"
"1072, Amsterdam";"6400";"6650";"5315";"2595";"2715";"8750";"5960";"1640";"1155";"1.48";"0363";"Amsterdam"
"1073, Amsterdam";"6280";"6545";"5650";"2540";"3110";"8235";"5290";"1595";"1350";"1.55";"0363";"Amsterdam"
"1074, Amsterdam";"3900";"4005";"3495";"1440";"2055";"4970";"3185";"915";"865";"1.57";"0363";"Amsterdam"
"1075, Amsterdam";"4945";"5285";"3910";"2315";"1595";"5810";"3325";"1185";"1300";"1.74";"0363";"Amsterdam"
"1076, Amsterdam";"5895";"5650";"4975";"1940";"3035";"6185";"3520";"1305";"1355";"1.67";"0363";"Amsterdam"
"1077, Amsterdam";"4405";"5020";"3370";"2480";"890";"4780";"2330";"1140";"1315";"1.97";"0363";"Amsterdam"
"1078, Amsterdam";"6620";"7550";"4645";"2765";"1880";"8240";"4525";"1885";"1825";"1.72";"0363";"Amsterdam"
"1079, Amsterdam";"6250";"7295";"4605";"2320";"2280";"8670";"5450";"1750";"1470";"1.56";"0363";"Amsterdam"
"1081, Amsterdam";"2095";"2600";"1575";"1000";"580";"2765";"1620";"630";"510";"1.68";"0363";"Amsterdam"
"1082, Amsterdam";"4110";"4735";"3835";"2045";"1795";"5280";"3045";"1305";"930";"1.66";"0363";"Amsterdam"
"1083, Amsterdam";"2685";"3280";"2340";"1285";"1050";"3330";"1965";"810";"550";"1.61";"0363";"Amsterdam"
"1086, Amsterdam";"1620";"1590";"1370";"360";"1005";"1195";"340";"210";"640";"2.64";"0363";"Amsterdam"
"1087, Amsterdam";"6935";"7225";"6980";"1715";"5260";"5635";"1850";"1005";"2780";"2.51";"0363";"Amsterdam"
"1091, Amsterdam";"7800";"7545";"7935";"2300";"5635";"9110";"5505";"1795";"1815";"1.68";"0363";"Amsterdam"
"1092, Amsterdam";"4425";"4450";"5120";"1300";"3820";"4875";"2770";"900";"1205";"1.82";"0363";"Amsterdam"
"1093, Amsterdam";"4075";"4135";"4635";"1110";"3525";"4785";"2895";"840";"1050";"1.70";"0363";"Amsterdam"
"1094, Amsterdam";"6365";"6015";"8105";"1705";"6395";"7020";"4140";"1325";"1555";"1.76";"0363";"Amsterdam"
"1095, Amsterdam";"5555";"5565";"7275";"1230";"6045";"6050";"3525";"1010";"1510";"1.81";"0363";"Amsterdam"
"1096, Amsterdam";"1025";"1005";"770";"395";"375";"1465";"1145";"230";"90";"1.31";"0363";"Amsterdam"
"1097, Amsterdam";"6280";"6770";"4840";"1745";"3095";"7940";"4900";"1550";"1490";"1.62";"0363";"Amsterdam"
"1098, Amsterdam";"6575";"7180";"4050";"2350";"1700";"6975";"3335";"1510";"2130";"1.97";"0363";"Amsterdam"
"1101, Amsterdam";"50";"20";"45";"30";"15";"55";"45";"5";"5";"1.30";"0363";"Amsterdam"
"1102, Amsterdam";"10555";"10625";"18085";"1595";"16490";"11170";"6120";"1425";"3630";"1.89";"0363";"Amsterdam"
"1103, Amsterdam";"6800";"6645";"10225";"1195";"9030";"7035";"3720";"1160";"2155";"1.91";"0363";"Amsterdam"
"1104, Amsterdam";"6000";"6345";"9925";"930";"8995";"6200";"3205";"855";"2140";"1.97";"0363";"Amsterdam"
"1105, Amsterdam";"80";"25";"55";"15";"45";"45";"35";"5";"5";"1.46";"0363";"Amsterdam"
"1106, Amsterdam";"8770";"9785";"12225";"1575";"10650";"8715";"3765";"1515";"3435";"2.12";"0363";"Amsterdam"
"1107, Amsterdam";"5530";"6245";"7575";"1115";"6460";"5870";"2715";"1055";"2105";"1.99";"0363";"Amsterdam"
"1108, Amsterdam";"1455";"1465";"1340";"495";"840";"1720";"985";"410";"325";"1.65";"0363";"Amsterdam"
"1109, Amsterdam";"740";"760";"235";"125";"110";"630";"185";"190";"255";"2.38";"0363";"Amsterdam"
"Totaal Amsterdam";"383802";"396006";"391920";"119157";"272763";"427350";"235961";"85914";"105475";"1.81";"0363";"Amsterdam"
"Overig Amsterdam";"45";"30";"35";"15";"20";"25";"20";"5";"10";"1.66";"0363";"Amsterdam"
"© Centraal Bureau voor de Statistiek, Den Haag/Heerlen 9-3-2015"
